id,name,price,sale_price,style,sales,type,color,date,url
1_000260202_F105-01461,女裝Logo棉質舒適圓領短袖T恤,799.0,399.0,000260202,181,不顯示,淺麻灰色,2020-04-17 10:57:29,https://awsresources.baozun.com/aws/96001088/20200407/5F9032990146C4F81E5468AE479EA3D3.jpg
1_000231912_HO09-13861,女裝純色圓領短袖T恤,799.0,559.0,000231912,93,不顯示,光感白,2020-04-09 10:14:19,https://awsresources.baozun.com/aws/96001088/20200323/D34C9AC88A051BE764BC00266723D464.jpg
1_000567669_SP18-38544,女裝Gap x Disney 迪士尼系列冰雪奇緣棉質寬鬆圓領短袖T恤,999.0,699.0,000567669,1,不顯示,藍白相間條紋,2020-03-17 16:02:09,https://awsresources.baozun.com/aws/96001088/20200218/6DC43A45B15FAE9C1640D9E80F416310.jpg
1_000231887_HO10-11603,女裝棉質舒適V領短袖T恤,799.0,559.0,000231887,52,不顯示,海軍藍色,2020-02-21 17:28:11,https://awsresources.baozun.com/aws/96001088/20200219/9E2D1C7C6288286DECE65218DAFC3C7D.jpg
231912LIVING CORAL 16-1546TC,女裝復古短袖圓領T恤,799.0,559.0,000231912,7,不顯示,珊瑚色,2020-02-21 17:28:11,https://awsresources.baozun.com/aws/96001088/20190831/41411FFBF0B441EB0911C82D6A249FB6.jpg
1_000501071_SB13-32567,女裝Logo徽標棉質舒適圓領短袖T恤,999.0,499.0,000501071,62,不顯示,牛奶白色,2020-03-17 16:01:56,https://awsresources.baozun.com/aws/96001088/20200224/4147A933E23CBB4061E7DDA5E1A5973E.jpg
231912SOFT BLACK V2,女裝復古短袖圓領T恤,799.0,559.0,000231912,63,不顯示,灰黑色,2020-02-21 17:28:11,https://awsresources.baozun.com/aws/96001088/20190831/97DF6C3F82639E427D8DC92A693738BE.jpg
355309B10 GREY HEATHER,女裝簡約Logo徽標圓領短袖T恤,799.0,399.0,000355309,92,不顯示,麻灰色,2020-05-29 11:14:13,https://awsresources.baozun.com/aws/96001088/20200416/FE0AFA9A2F65CABD82902BFF73032960.jpg
223578B10 GREY HEATHER,女裝Logo活力棉質短袖T恤,799.0,559.0,000223578,156,不顯示,麻灰色,2020-04-26 14:54:22,https://awsresources.baozun.com/aws/96001088/20190816/F1C496C9C8C96F1B97EDD680DED3155C.jpg
1_000260202_SP03-21530,女裝Logo城市主題字母圖案短袖T恤,799.0,399.0,000260202,160,不顯示,粉色,2020-04-17 10:57:29,https://awsresources.baozun.com/aws/96001088/20200416/3ED72A2070081F8BE1A98817335002FB.jpg
355309NAVY UNIFORM,女裝簡約Logo徽標圓領短袖T恤,799.0,399.0,000355309,188,不顯示,海軍藍色,2020-05-29 11:14:13,https://awsresources.baozun.com/aws/96001088/20200311/3DFC7D2B32B6E9118ED469755BCA0EE6.jpg
1_000223578_BA00-00295,女裝Logo活力棉質短袖T恤,799.0,559.0,000223578,330,不顯示,羽白色,2020-04-23 10:08:25,https://awsresources.baozun.com/aws/96001088/20200116/764564572B13575048EA150CF68043AE.jpg
231912PURPLE HYDRANGEA,女裝復古短袖圓領T恤,799.0,559.0,000231912,33,不顯示,粉紫色,2020-05-29 11:14:13,https://awsresources.baozun.com/aws/96001088/20190816/2A45577D7046F4F891BD6E3B2A3A4B1D.jpg
865314TRUE BLACK V2 2,女裝復古純色絲絨荷葉邊無袖上衣,2299.0,1609.0,000865314,1,不顯示,純正黑,2020-05-18 10:37:37,https://awsresources.baozun.com/aws/96001088/20190816/E2A912EAD4ECD9B0634B987B14B7C7E4.jpg
256468WICKER,女裝寬鬆都市風中腰短褲,899.0,629.0,000256468,5,不顯示,淺卡其色,2020-05-29 11:14:13,https://awsresources.baozun.com/aws/96001088/20190816/F7614A62F00C8B7EC5CDD30E8ACF7191.jpg
1_000582267_SP19-40341,女裝撞色條紋V領針織背心,999.0,699.0,000582267,0,新品,橄欖色藍色條紋,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200520/9EE29F330091F47D3AF839A568551023.png
1_000268820_SM20-41711,女裝Logo棉質舒適圓領短袖T恤,799.0,399.0,000268820,0,新品,綠色,2020-06-05 10:36:55,https://awsresources.baozun.com/aws/96001088/20200521/E7D1A4DEFE6E6ADCF4795C25E97EB672.jpg
1_000268820_SP20-41297,女裝Logo棉質舒適圓領短袖T恤,799.0,399.0,000268820,0,新品,黃色,2020-06-05 10:36:55,https://awsresources.baozun.com/aws/96001088/20200521/946BCFED0B21BB9A1EC5E1C0A1428748.jpg
1_000582267_SM20-35144,女裝撞色條紋V領針織背心,999.0,699.0,000582267,0,新品,多彩條紋,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/09EFF65066C6E3E865EDBC50318622E9.jpg
1_000573732_H106-09828,女裝深色水洗休閒牛仔短褲,1999.0,1399.0,000573732,0,新品,水洗黑,2020-06-05 10:36:57,https://awsresources.baozun.com/aws/96001088/20200512/863E3D8DE5651CC343C137BFD613D0C1.jpg
1_000573731_H106-09828,女裝深色水洗五口袋牛仔短褲,1999.0,1399.0,000573731,0,新品,水洗黑,2020-06-05 10:36:57,https://awsresources.baozun.com/aws/96001088/20200512/DEB35CF22FFF82A8EE051E5E6497FE08.jpg
1_000573724_SP13-30083,女裝時尚純色五口袋牛仔褲,2799.0,1959.0,000573724,0,新品,白色,2020-06-05 10:36:57,https://awsresources.baozun.com/aws/96001088/20200519/F0B24A0BC82DF7BDA84CF6FF500F1CD0.jpg
1_000589675_HO10-11603,女裝舒適Logo鬆緊腰休閒短褲,1299.0,649.0,000589675,0,新品,海軍藍色,2020-06-05 10:37:00,https://awsresources.baozun.com/aws/96001088/20200519/B832B3CD11F1FDB80CE9FA94BA91168D.jpg
1_000589675_SB13-32325,女裝舒適Logo鬆緊腰休閒短褲,1299.0,649.0,000589675,0,新品,玫瑰花叢,2020-06-05 10:37:00,https://awsresources.baozun.com/aws/96001088/20200519/FE8BBF324575D599D112E2ADF82FF995.jpg
1_000589675_HO15-34044,女裝舒適Logo鬆緊腰休閒短褲,1299.0,649.0,000589675,0,新品,亮麻灰色,2020-06-05 10:37:00,https://awsresources.baozun.com/aws/96001088/20200519/AB5E8E46D7B4EE3B8AC830B6B1E821DD.jpg
1_000589675_HO10-11260,女裝舒適Logo鬆緊腰休閒短褲,1299.0,649.0,000589675,0,新品,蔚藍色,2020-06-05 10:37:00,https://awsresources.baozun.com/aws/96001088/20200519/1F34F14AAD2F6B5C2F341BD3DE72443C.jpg
1_000583226_H106-10815,女裝清爽條紋直筒型半身長裙,2299.0,1149.0,000583226,0,新品,藍白相間條紋,2020-06-05 10:37:00,https://awsresources.baozun.com/aws/96001088/20200512/D9DCC0EB5709714512A476AB51F7AD5E.jpg
1_000583117_HO19-41376,女裝時尚條紋開領短袖洋裝,2999.0,1499.0,000583117,0,新品,海軍藍窗格花紋,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/844A0B5BE4AEB12A23A42E171258471F.jpg
1_000583031_SM18-38959,女裝活力花卉分層式吊帶洋裝,2799.0,1399.0,000583031,0,新品,藍色熱帶花卉,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/A9F794489CDBB741477C42A7DB095A28.jpg
1_000582268_M114-32394,女裝時尚印花圓領短袖T恤,999.0,699.0,000582268,0,新品,新海軍藍,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/22B144BAD4C331A637B4DE464E294ECA.jpg
1_000582267_SM17-36937,女裝撞色條紋V領針織背心,999.0,699.0,000582267,0,新品,海軍藍條紋,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/33673BBAC88B436B2D389EF5E000C4EC.jpg
1_000577948_H105-09802,女裝亞麻混紡條紋休閒上衣,1999.0,1399.0,000577948,0,新品,紫粉,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/A9CB8E306757191683ACD1B862029B0B.jpg
1_000577945_SM14-32067,女裝活力花卉圓領短袖襯衫,1999.0,1399.0,000577945,0,新品,棕櫚樹圖案,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/E23F14EF7F8CC925E7101C5CAB000493.jpg
1_000577945_SP18-38539,女裝活力花卉圓領短袖襯衫,1999.0,1399.0,000577945,0,新品,藍底印花,2020-06-05 10:36:59,https://awsresources.baozun.com/aws/96001088/20200512/7C1DBA92B048CEF4EF5CFC6812C521A1.jpg
